"","ID","Y_chan","date","date_chan","channel","ExpDay","TempF","TempC","nitrogen_ugL","phosphorus_ugL","afdm_g_m2","TempK","Y","afdm_g_m2.la"
"1","2015_b_1_b_1","2015_b_1",2015-06-04,"2015-06-04_b_1","1",1,"A",6.217,50,0,1e-05,279.217,"2015",1e-05
"2","2015_b_1_b_2","2015_b_1",2015-06-05,"2015-06-05_b_1","1",2,"A",6.217,50,0,NA,279.217,"2015",0.78125875
"3","2015_b_1_b_3","2015_b_1",2015-06-06,"2015-06-06_b_1","1",3,"A",4.727,50,0,NA,277.727,"2015",1.5625075
"4","2015_b_1_b_4","2015_b_1",2015-06-07,"2015-06-07_b_1","1",4,"A",4.934,50,0,NA,277.934,"2015",2.34375625
"5","2015_b_1_b_5","2015_b_1",2015-06-08,"2015-06-08_b_1","1",5,"A",4.415,50,0,NA,277.415,"2015",3.125005
"6","2015_b_1_b_6","2015_b_1",2015-06-09,"2015-06-09_b_1","1",6,"A",4.311,50,0,NA,277.311,"2015",3.90625375
"7","2015_b_1_b_7","2015_b_1",2015-06-10,"2015-06-10_b_1","1",7,"A",5.1925,50,0,NA,278.1925,"2015",4.6875025
"8","2015_b_1_b_8","2015_b_1",2015-06-11,"2015-06-11_b_1","1",8,"A",6.217,50,0,NA,279.217,"2015",5.46875125
"9","2015_b_1_b_9","2015_b_1",2015-06-12,"2015-06-12_b_1","1",9,"A",5.244,50,0,6.25,278.244,"2015",6.25
"10","2015_b_1_b_10","2015_b_1",2015-06-13,"2015-06-13_b_1","1",10,"A",5.244,50,0,NA,278.244,"2015",5.40960451977401
"11","2015_b_1_b_11","2015_b_1",2015-06-14,"2015-06-14_b_1","1",11,"A",5.8085,50,0,NA,278.8085,"2015",4.56920903954802
"12","2015_b_1_b_12","2015_b_1",2015-06-15,"2015-06-15_b_1","1",12,"A",6.573,50,0,3.72881355932203,279.573,"2015",3.72881355932203
"13","2015_b_1_b_13","2015_b_1",2015-06-16,"2015-06-16_b_1","1",13,"A",6.37,50,0,NA,279.37,"2015",3.5969868173258
"14","2015_b_1_b_14","2015_b_1",2015-06-17,"2015-06-17_b_1","1",14,"A",6.166,50,0,NA,279.166,"2015",3.46516007532956
"15","2015_b_1_b_15","2015_b_1",2015-06-18,"2015-06-18_b_1","1",15,"A",5.8595,50,0,3.33333333333333,278.8595,"2015",3.33333333333333
"16","2015_b_1_b_16","2015_b_1",2015-06-19,"2015-06-19_b_1","1",16,"A",5.86,50,0,NA,278.86,"2015",4.39171374764595
"17","2015_b_1_b_17","2015_b_1",2015-06-20,"2015-06-20_b_1","1",17,"A",6.978,50,0,NA,279.978,"2015",5.45009416195857
"18","2015_b_1_b_18","2015_b_1",2015-06-21,"2015-06-21_b_1","1",18,"A",7.732,50,0,6.50847457627119,280.732,"2015",6.50847457627119
"19","2015_b_1_b_19","2015_b_1",2015-06-22,"2015-06-22_b_1","1",19,"A",8.978,50,0,NA,281.978,"2015",6.28824558772062
"20","2015_b_1_b_20","2015_b_1",2015-06-23,"2015-06-23_b_1","1",20,"A",9.472,50,0,NA,282.472,"2015",6.06801659917004
"21","2015_b_1_b_21","2015_b_1",2015-06-24,"2015-06-24_b_1","1",21,"A",7.983,50,0,5.84778761061947,280.983,"2015",5.84778761061947
"22","2015_b_1_b_22","2015_b_1",2015-06-25,"2015-06-25_b_1","1",22,"A",7.129,50,0,NA,280.129,"2015",7.12753092169953
"23","2015_b_1_b_23","2015_b_1",2015-06-26,"2015-06-26_b_1","1",23,"A",7.732,50,0,NA,280.732,"2015",8.40727423277959
"24","2015_b_1_b_24","2015_b_1",2015-06-27,"2015-06-27_b_1","1",24,"A",8.282,50,0,9.68701754385965,281.282,"2015",9.68701754385965
"25","2015_b_1_b_25","2015_b_1",2015-06-28,"2015-06-28_b_1","1",25,"A",8.132,50,0,NA,281.132,"2015",12.6471026049973
"26","2015_b_1_b_26","2015_b_1",2015-06-29,"2015-06-29_b_1","1",26,"A",8.132,50,0,NA,281.132,"2015",15.607187666135
"27","2015_b_1_b_27","2015_b_1",2015-06-30,"2015-06-30_b_1","1",27,"A",8.481,50,0,18.5672727272727,281.481,"2015",18.5672727272727
"28","2015_b_1_b_28","2015_b_1",2015-07-01,"2015-07-01_b_1","1",28,"A",7.632,50,0,NA,280.632,"2015",18.9722921522921
"29","2015_b_1_b_29","2015_b_1",2015-07-02,"2015-07-02_b_1","1",29,"A",8.232,50,0,NA,281.232,"2015",19.3773115773116
"30","2015_b_1_b_30","2015_b_1",2015-07-03,"2015-07-03_b_1","1",30,"A",9.9155,50,0,NA,282.9155,"2015",19.782331002331
"31","2015_b_1_b_31","2015_b_1",2015-07-04,"2015-07-04_b_1","1",31,"A",10.014,50,0,20.1873504273504,283.014,"2015",20.1873504273504
"32","2015_b_1_b_32","2015_b_1",2015-07-05,"2015-07-05_b_1","1",32,"A",8.7295,50,0,NA,281.7295,"2015",21.5894430577616
"33","2015_b_1_b_33","2015_b_1",2015-07-06,"2015-07-06_b_1","1",33,"A",9.4225,50,0,NA,282.4225,"2015",22.9915356881729
"34","2015_b_1_b_34","2015_b_1",2015-07-07,"2015-07-07_b_1","1",34,"A",9.62,50,0,24.3936283185841,282.62,"2015",24.3936283185841
"35","2015_b_1_b_35","2015_b_1",2015-07-08,"2015-07-08_b_1","1",35,"A",9.1265,50,0,NA,282.1265,"2015",20.8918879056048
"36","2015_b_1_b_36","2015_b_1",2015-07-09,"2015-07-09_b_1","1",36,"A",8.829,50,0,NA,281.829,"2015",17.3901474926254
"37","2015_b_1_b_37","2015_b_1",2015-07-10,"2015-07-10_b_1","1",37,"A",8.6305,50,0,NA,281.6305,"2015",13.8884070796461
"38","2015_b_1_b_38","2015_b_1",2015-07-11,"2015-07-11_b_1","1",38,"A",8.132,50,0,10.3866666666667,281.132,"2015",10.3866666666667
"39","2015_b_1_b_39","2015_b_1",2015-07-12,"2015-07-12_b_1","1",39,"A",9.0275,50,0,31.6376470588235,282.0275,"2015",31.6376470588235
"40","2015_b_1_b_40","2015_b_1",2015-07-13,"2015-07-13_b_1","1",40,"A",8.779,50,0,18.06,281.779,"2015",18.06
"41","2015_b_1_b_41","2015_b_1",2015-07-14,"2015-07-14_b_1","1",41,"A",8.182,50,0,13.8830769230769,281.182,"2015",13.8830769230769
"42","2015_b_1_b_42","2015_b_1",2015-07-15,"2015-07-15_b_1","1",42,"A",9.373,50,0,NA,282.373,"2015",19.7490384615384
"43","2015_b_1_b_43","2015_b_1",2015-07-16,"2015-07-16_b_1","1",43,"A",9.077,50,0,25.615,282.077,"2015",25.615
"44","2015_b_1_b_44","2015_b_1",2015-07-17,"2015-07-17_b_1","1",44,"A",9.5705,50,0,NA,282.5705,"2015",26.2019130434783
"45","2015_b_1_b_45","2015_b_1",2015-07-18,"2015-07-18_b_1","1",45,"A",9.1265,50,0,NA,282.1265,"2015",26.7888260869565
"46","2015_b_1_b_46","2015_b_1",2015-07-19,"2015-07-19_b_1","1",46,"A",6.978,50,0,NA,279.978,"2015",27.3757391304348
"47","2015_b_1_b_47","2015_b_1",2015-07-20,"2015-07-20_b_1","1",47,"A",7.983,50,0,NA,280.983,"2015",27.962652173913
"48","2015_b_1_b_48","2015_b_1",2015-07-21,"2015-07-21_b_1","1",48,"A",8.132,50,0,28.5495652173913,281.132,"2015",28.5495652173913
"49","2015_b_1_b_49","2015_b_1",2015-07-22,"2015-07-22_b_1","1",49,"A",9.1265,50,0,NA,282.1265,"2015",28.8890969899665
"50","2015_b_1_b_50","2015_b_1",2015-07-23,"2015-07-23_b_1","1",50,"A",9.324,50,0,NA,282.324,"2015",29.2286287625418
"51","2015_b_1_b_51","2015_b_1",2015-07-24,"2015-07-24_b_1","1",51,"A",8.829,50,0,NA,281.829,"2015",29.5681605351171
"52","2015_b_1_b_52","2015_b_1",2015-07-25,"2015-07-25_b_1","1",52,"A",8.581,50,0,29.9076923076923,281.581,"2015",29.9076923076923
"53","2015_b_1_b_53","2015_b_1",2015-07-26,"2015-07-26_b_1","1",53,"A",8.481,50,0,37.9718052738337,281.481,"2015",37.9718052738337
"54","2015_b_1_b_54","2015_b_1",2015-07-27,"2015-07-27_b_1","1",54,"A",8.829,50,0,NA,281.829,"2015",44.0536058441367
"55","2015_b_1_b_55","2015_b_1",2015-07-28,"2015-07-28_b_1","1",55,"A",8.68,50,0,NA,281.68,"2015",50.1354064144398
"56","2015_b_1_b_56","2015_b_1",2015-07-29,"2015-07-29_b_1","1",56,"A",8.9285,50,0,NA,281.9285,"2015",56.2172069847429
"57","2015_b_1_b_57","2015_b_1",2015-07-30,"2015-07-30_b_1","1",57,"A",8.481,50,0,NA,281.481,"2015",62.299007555046
"58","2015_b_1_b_58","2015_b_1",2015-07-31,"2015-07-31_b_1","1",58,"A",7.632,50,0,NA,280.632,"2015",68.3808081253491
"59","2015_b_1_b_59","2015_b_1",2015-08-01,"2015-08-01_b_1","1",59,"A",8.132,50,0,74.4626086956522,281.132,"2015",74.4626086956522
"60","2015_b_10_b_1","2015_b_10",2015-06-04,"2015-06-04_b_10","10",1,"E",22.573,50,0,1e-05,295.573,"2015",1e-05
"61","2015_b_10_b_2","2015_b_10",2015-06-05,"2015-06-05_b_10","10",2,"E",22.573,50,0,NA,295.573,"2015",0.474146681034482
"62","2015_b_10_b_3","2015_b_10",2015-06-06,"2015-06-06_b_10","10",3,"E",21.5685,50,0,NA,294.5685,"2015",0.948283362068965
"63","2015_b_10_b_4","2015_b_10",2015-06-07,"2015-06-07_b_10","10",4,"E",20.234,50,0,NA,293.234,"2015",1.42242004310345
"64","2015_b_10_b_5","2015_b_10",2015-06-08,"2015-06-08_b_10","10",5,"E",18.188,50,0,NA,291.188,"2015",1.89655672413793
"65","2015_b_10_b_6","2015_b_10",2015-06-09,"2015-06-09_b_10","10",6,"E",17.094,50,0,NA,290.094,"2015",2.37069340517241
"66","2015_b_10_b_7","2015_b_10",2015-06-10,"2015-06-10_b_10","10",7,"E",18.3785,50,0,NA,291.3785,"2015",2.84483008620689
"67","2015_b_10_b_8","2015_b_10",2015-06-11,"2015-06-11_b_10","10",8,"E",23.004,50,0,NA,296.004,"2015",3.31896676724138
"68","2015_b_10_b_9","2015_b_10",2015-06-12,"2015-06-12_b_10","10",9,"E",22.429,50,0,3.79310344827586,295.429,"2015",3.79310344827586
"69","2015_b_10_b_10","2015_b_10",2015-06-13,"2015-06-13_b_10","10",10,"E",24.931,50,0,NA,297.931,"2015",3.75095785440613
"70","2015_b_10_b_11","2015_b_10",2015-06-14,"2015-06-14_b_10","10",11,"E",25.805,50,0,NA,298.805,"2015",3.7088122605364
"71","2015_b_10_b_12","2015_b_10",2015-06-15,"2015-06-15_b_10","10",12,"E",25.513,50,0,3.66666666666667,298.513,"2015",3.66666666666667
"72","2015_b_10_b_13","2015_b_10",2015-06-16,"2015-06-16_b_10","10",13,"E",23.725,50,0,NA,296.725,"2015",4.46825396825397
"73","2015_b_10_b_14","2015_b_10",2015-06-17,"2015-06-17_b_10","10",14,"E",23.004,50,0,NA,296.004,"2015",5.26984126984127
"74","2015_b_10_b_15","2015_b_10",2015-06-18,"2015-06-18_b_10","10",15,"E",22.142,50,0,6.07142857142857,295.142,"2015",6.07142857142857
"75","2015_b_10_b_16","2015_b_10",2015-06-19,"2015-06-19_b_10","10",16,"E",22.621,50,0,NA,295.621,"2015",5.7214652014652
