"","MetDate","Year.x","ID2","ID3","channel","repF","tempF","MeanPre2wksTemp","N_tr_uM","P_tr_uM","N_uM","P_uM","NPratio","NEP_uM_C_m2h","R_uM_C_m2h","GPP_uM_C_m2h","GPP_uM_CperL","lightL","UpDate","NUp_uM_N_m2_hr","PUp_uM_P_m2_hr","NfixDate","T2_chambtempC","MeanPre2wksTempC_Nfixn","Nfix_uM_N_m2h","Comments","RelBV_allN2fixers","RelBV_allnonN2fixers","RelBV_N2fix_diatoms","RelBV_nonN2fix_diatoms","RelBV_N2fix_Cyanos","RelBV_otheralgalgroups","BV_Nfix_mg","BV_nonNfix_mg","P_uM.stoich","P_uM.areal","perP","Samplewt_g","C_uM.stoich","N_uM.stoich","C_uM.areal","N_uM.areal","CNratio_molar","perC","perN","CPratio_areal","NPratio_areal","CPratio_per","NPratio_per","Pred_N_dem","Pred_P_dem","StartDate","sample_event","N_cat","P_cat","chan","Block","propNfixer","logitNfixer","Year.y","Met_gAFDM_m2","Nup_gAFDM_m2","Pup_gAFDM_m2","Nfix_gAFDM_m2","NEP_impute_uMC_m2h","NEP_is_imputed","ER_impute_uMC_m2h","ER_is_imputed","GPP_impute_uMC_m2h","GPP_is_imputed"
"1","7/27/2016",2016,"Metab1_2016_C1","2016_C1","C1",NA,"A",10.63156024,0,1.61,0.11,1.97,0.06,NA,539.7923875,NA,NA,99085.88417,NA,NA,NA,"7/25/2016",12.2,9.68,33.35714286,"",96.67,3.33,0,3.33,96.67,0,4.7126625,0.1623375,0.08,110.93,0.12,0.002,33.52,3.599285714,46481.06667,4991.009524,9.31295892,21.17052632,2.652105263,419.0125905,44.99242336,"176.4210526","22.10087719",NA,NA,2016-06-03,"D1","AmbN","MedP",1,1,0.9667,3.339776767715,2016,1.55999999999983,1.55999999999983,1.55999999999983,0.8,227.714639645996,TRUE,539.7923875,FALSE,767.507027145996,"TRUE"
"2","7/27/2016",2016,"Metab1_2016_C10","2016_C10","C10",NA,"E",25.2363148,0,1.61,0.11,1.97,0.06,30604.31985,14390.13841,44994.45826,0.461910169,97409.5425,NA,NA,NA,"7/25/2016",24.8,23.92,285.6428571,"",91.27,8.73,35.86,0,55.42,8.73,97.713662,9.346338,0.71,12041.6,0.66,0.0033,168.185,22.92357143,1426208.8,194391.8857,7.336771259,38.81192308,6.171730769,118.4401408,16.14336016,"58.80594406","9.351107226",6132.732871,379.8919686,2016-06-03,"D1","AmbN","MedP",10,1,0.9127,2.33676218239466,2016,42.824,42.824,42.824,46.8,30604.31985,FALSE,14390.13841,FALSE,44994.45826,"FALSE"
"3","7/27/2016",2016,"Metab1_2016_C11","2016_C11","C11",NA,"B",13.44511935,0,6.45,0.11,6.81,0.02,3552.380953,1008.403362,4560.784314,0.039220671,116285.2178,NA,NA,NA,"8/1/2016",13,13.97,99.57142857,"Replacing lost 1st sampling",100,0,1.11,0,98.89,0,26.6,0,0.06,268.8,0.25,7e-04,53.6375,5.781428571,240296,25900.8,9.277551273,45.975,5.781428571,893.9583333,96.35714286,"183.9","23.12571429",491.5935445,5.101786229,2016-06-03,"D1","AmbN","HighP",11,1,1,6.90875477931522,2016,6.0799999999999,6.0799999999999,6.0799999999999,4.8,3552.380953,FALSE,1008.403362,FALSE,4560.784315,"FALSE"
"4","7/27/2016",2016,"Metab1_2016_C12","2016_C12","C12",NA,"C",17.15484516,0,3.23,0.11,3.59,0.03,13493.30357,4668.036332,18161.3399,0.161012177,112794.8222,NA,NA,NA,"8/1/2016",15.7,17.44,131.5,"Replacing lost 1st sampling",100,0,71.88,0,28.13,0,50.6,0,0,0,0,-0.0039,41.95083333,3.889285714,192973.8333,17890.71429,10.7862565,-251.705,-27.225,Inf,Inf,"#NAME?","#NAME?",1683.748194,0,2016-06-03,"D1","AmbN","HighP",12,1,1,6.90875477931522,2016,12.8142857142852,12.8142857142852,12.8142857142852,9.2,13493.30357,FALSE,4668.036332,FALSE,18161.339902,"FALSE"
"5","7/27/2016",2016,"Metab1_2016_C13","2016_C13","C13",NA,"E",25.2363148,0,3.23,0.11,3.59,0.03,27293.52678,16080.23356,43373.76034,0.359917064,120510.4307,NA,NA,NA,"8/1/2016",22.6,25.51,247.0714286,"Replacing lost 1st sampling",98.13,1.87,2.94,0,95.19,1.87,128.118528,2.441472,0.05,906.67,-0.84,-2e-04,57.9575,5.746428571,630577.6,62521.14286,10.08582971,347.745,40.225,695.4874431,68.95688934,"-413.9821429","-47.88690476",4300.465266,62.36454845,2016-06-03,"D1","AmbN","HighP",13,1,0.9813,3.90927812493688,2016,39.6342857142841,39.6342857142841,39.6342857142841,38,27293.52678,FALSE,16080.23356,FALSE,43373.76034,"FALSE"
"6","7/27/2016",2016,"Metab1_2016_C14","2016_C14","C14",NA,"C",17.15484516,0,6.45,0.11,6.81,0.02,11240.80882,3221.237024,14462.04585,0.099682581,145080.9725,NA,NA,NA,"8/1/2016",15.9,17.44,81.64285714,"Replacing lost 1st sampling",100,0,53.45,0,46.55,0,37.24166667,0,0.08,1162.67,0.21,0.0012,36.64416667,2.780714286,798842.8333,60619.57143,13.177969,-43.973,-3.893,687.0761552,52.13824338,"-209.3952381","-18.53809524",1097.44118,21.0486796,2016-06-03,"D1","AmbN","HighP",14,1,1,6.90875477931522,2016,14.8966666666666,14.8966666666666,14.8966666666666,8,11240.80882,FALSE,3221.237024,FALSE,14462.045844,"FALSE"
"7","7/27/2016",2016,"Metab1_2016_C15","2016_C15","C15",NA,"A",10.63156024,0,0.81,0.11,1.17,0.09,NA,570.9342561,NA,NA,153967.6988,NA,NA,NA,"8/1/2016",10.7,11.15,55.14285714,"Replacing lost 1st sampling",60.19,39.81,21.36,39.81,38.83,0,5.7932875,3.8317125,0,0,0,6e-04,18.58583333,0.941428571,138774.2222,7029.333333,19.74215984,44.606,2.636,Inf,Inf,"Inf","Inf",NA,NA,2016-06-03,"D1","AmbN","MedP",15,1,0.6019,0.412539333440672,2016,3.07999999999966,3.07999999999966,3.07999999999966,3.2,1235.19471258077,TRUE,570.9342561,FALSE,1806.12896868076,"TRUE"
"8","7/27/2016",2016,"Metab1_2016_C16","2016_C16","C16",NA,"E",25.2363148,0,0.81,0.11,1.17,0.09,14896.59926,7645.977509,22542.57677,0.259122713,86995.75792,NA,NA,NA,"8/1/2016",23.4,25.51,151.5714286,"Replacing lost 1st sampling",85.74,14.26,2.69,0.09,83.06,14.17,62.71881,10.43119,0.16,4256,0.34,0.0015,34.71166667,3.501428571,923330.3333,93138,9.913572691,41.654,4.902,216.9479167,21.88392857,"122.5117647","14.41764706",2273.910474,103.9077817,2016-06-03,"D1","AmbN","MedP",16,2,0.8574,1.78803853470236,2016,29.2600000000007,29.2600000000007,29.2600000000007,21.6,14896.59926,FALSE,7645.977509,FALSE,22542.576769,"FALSE"
"9","7/27/2016",2016,"Metab1_2016_C17","2016_C17","C17",NA,"B",13.44511935,0,1.61,0.11,1.97,0.06,15323.98897,3062.283737,18386.27271,0.211346773,86995.75792,NA,NA,NA,"8/1/2016",13.3,13.97,203.5714286,"Replacing lost 1st sampling",100,0,0.25,0,99.75,0,37.91666667,0,0,0,0,6e-04,25.9075,2.334285714,538876,48553.14286,11.09868421,77.7225,8.17,Inf,Inf,"Inf","Inf",1656.617339,0,2016-06-03,"D1","AmbN","MedP",17,2,1,6.90875477931522,2016,12.1333333333328,12.1333333333328,12.1333333333328,8,15323.98897,FALSE,3062.283737,FALSE,18386.272707,"FALSE"
"10","7/27/2016",2016,"Metab1_2016_C18","2016_C18","C18",NA,"B",13.44511935,0,0.81,0.11,1.17,0.09,6607.142861,1913.927336,8521.070197,0.101386997,84045,NA,NA,NA,"8/1/2016",13.5,13.97,89.5,"Replacing lost 1st sampling",92.9,7.1,17.75,0,75.15,7.1,23.225,1.775,0,0,0,3e-04,18.78666667,1.185,360704,22752,15.85372714,75.14666667,5.53,Inf,Inf,"Inf","Inf",537.4805633,0,2016-06-03,"D1","AmbN","MedP",18,2,0.929,2.55851846713125,2016,7.99999999999983,7.99999999999983,7.99999999999983,4.4,6607.142861,FALSE,1913.927336,FALSE,8521.070197,"FALSE"
