Code,Iceland,year,ChanNum,DFIX,MELO,DIATMA,HAN,MER,FRAG,SYN,NAVNITZ,SMLLD,DOTH,GRN,YG,CYF,CYNF,Other
A0,Iceland,2015,8,0,0,0,11.11111111,22.22222222,5.555555556,59.25925926,0,1.851851852,0,0,0,0,0,0
B0,Iceland,2015,2,0,0,0,40,10,50,0,0,0,0,0,0,0,0,0
C0,Iceland,2015,20,19.23076923,17.30769231,1.923076923,2.884615385,1.923076923,14.42307692,11.53846154,0,0,1.923076923,0,0,28.84615385,0,0
D0,Iceland,2015,10,2.851885925,0,0,0,0,0,0,0,0,0,0,0,97.14811408,0,0
E0,Iceland,2015,6,1.222974449,0,0,0,0,0,0,0,0,0,0,0,98.77702555,0,0
A25,Iceland,2015,15,0,0,56.66666667,3.666666667,14.33333333,3.666666667,4.666666667,4,3,1,5.666666667,0,3.333333333,0,0
B25,Iceland,2015,18,0,3.115727003,0,0,0,0,2.818991098,0,0,0,0,0,94.0652819,0,0
C25,Iceland,2015,4,1.305057096,12.39804241,0.815660685,6.362153344,13.37683524,39.96737357,3.752039152,5.872756933,1.63132137,6.03588907,6.525285481,0.652528548,0.326264274,0,0.978792822
D25,Iceland,2015,29,2.372881356,17.45762712,0,0,0,17.11864407,1.355932203,1.694915254,0,2.203389831,0,0,57.79661017,0,0
E25,Iceland,2015,16,5.342237062,61.10183639,0,0.834724541,0,0,22.20367279,2.003338898,1.669449082,3.338898164,0.500834725,0,2.671118531,0,0.333889816
A50,Iceland,2015,1,0,0,50.14409222,26.80115274,6.340057637,0,2.017291066,2.88184438,1.008645533,1.296829971,8.501440922,0,0.432276657,0,0.576368876
B50,Iceland,2015,17,0,0,0,33.33333333,22.22222222,44.44444444,0,0,0,0,0,0,0,0,0
C50,Iceland,2015,5,3.759398496,36.46616541,0,1.503759398,3.007518797,0,20.67669173,1.691729323,5.07518797,0,1.691729323,0.563909774,25.56390977,0,0
D50,Iceland,2015,19,0.617283951,45.0617284,0,0,3.189300412,8.53909465,25.30864198,4.320987654,4.115226337,5.864197531,1.851851852,0,1.131687243,0,0
E50,Iceland,2015,10,0,13.671875,0.130208333,0,0.130208333,0.520833333,8.072916667,3.90625,0.390625,1.432291667,70.44270833,0,0.651041667,0.651041667,0
A100,Iceland,2015,26,0,0,56.10859729,11.08597285,12.8959276,0.226244344,2.036199095,1.131221719,0,1.131221719,15.38461538,0,0,0,0
B100,Iceland,2015,28,2.209944751,24.58563536,8.563535912,6.906077348,7.73480663,34.25414365,0,1.104972376,4.972375691,2.486187845,0.552486188,6.629834254,0,0,0
C100,Iceland,2015,12,1.608910891,64.23267327,1.237623762,3.094059406,8.044554455,9.52970297,3.341584158,2.227722772,2.97029703,2.103960396,0.247524752,0,1.361386139,0,0
D100,Iceland,2015,23,1.134751773,35.31914894,0.141843972,0,0.141843972,13.19148936,0,2.978723404,0.85106383,1.134751773,3.262411348,0.709219858,41.13475177,0,0
E100,Iceland,2015,13,0.095147479,31.96955281,0,0.285442436,0,0.190294957,38.62987631,16.93625119,3.235014272,5.137963844,0,0,0,2.283539486,1.236917222
A150,Iceland,2015,22,0,0,36.36363636,6.684491979,37.43315508,11.76470588,2.406417112,2.941176471,0.802139037,1.604278075,0,0,0,0,0
B150,Iceland,2015,3,2.229845626,9.948542024,22.81303602,7.890222985,7.375643225,10.46312178,3.087478559,14.23670669,11.14922813,5.660377358,0.171526587,2.229845626,0,0,2.744425386
B150,Iceland,2015,3b,0,0,3.571428571,10.71428571,21.42857143,21.42857143,0,7.142857143,28.57142857,7.142857143,0,0,0,0,0
