Code,Iceland,year,Date,Identifier,TempC,TempC_Avg,Nfixed_mgN_h_/m2),Nfixed_ugNhmgAFDM,Nfixed_ugNhmgAFDMbn2fix,Total SampleAFDMg,AFDMmgcm2,Nutrient Manip,Channel,Channel Time,Ch#,Temp Code,Nut Conc,Biovolume unitCm2,Ratio Biovolume unitsCm2 per AFDMcm2,Nfix_gAFDM_m2
A50,Iceland,2015,,2015A50,11.6,13.58333333,0.059764818,0.007352652,1.700913413,0.032835165,0.007352652,N,CH1_A50,2,1,A,50,7800241.5,1060874619,20.88791209
B0,Iceland,2015,,2015B0,13.6,13.75714286,0.655049922,0.18843891,#DIV/0!,0.009007576,0.18843891,N,CH2_B0,2,2,B,0,237.7,1261.3,1.581818182
B150,Iceland,2015,,2015B150,13.8,13.75714286,0.024061373,0.018402275,0.825271266,0.014608696,0.018402275,N,CH3_B150,2,3,B,150,4892647.2,265871861,8.904347826
C25,Iceland,2015,,2015C25,18.5,20.25,0.277733787,0.028738288,1.761657072,0.025938144,0.028738288,N,CH4_C25,2,4,C,25,6261292,217872822.9,9.764948454
C50,Iceland,2015,,2015C50,21.4,20.25,0.264851909,0.029595468,0.100928133,0.024036458,0.029595468,N,CH5_C50,2,5,C,50,3752247,126784514.9,9.31875
E0,Iceland,2015,,2015E0,25.4,18.85,3.782423443,0.138984423,0.138984423,0.065663265,0.138984423,N,CH6_E0,2,6,E,0,22380585.1,161029448.9,12.02579365
A200,Iceland,2015,,2015A200,11.6,13.58333333,0.015181181,0.005505885,2.30971858,0.024285714,0.005505885,N,CH7_A200,2,7,A,200,4987409,905832461.9,13.15164835
A0,Iceland,2015,,2015A0,10.8,13.58333333,0.098439971,0.070236752,#DIV/0!,0.004817204,0.070236752,N,CH8_A0,2,8,A,0,74117.9,1055258.7,0.87311828
D150,Iceland,2015,,2015D150,21.7,21.43333333,0.018729582,0.059163906,#DIV/0!,0.041875,0.059163906,N,CH9_D150,2,9,D,150,3739140.6,63199690.5,15.41
E50,Iceland,2015,,2015E50,28.7,18.85,0.588294149,0.005693552,0.874529549,0.263461538,0.005693552,N,CH10_E50,2,10,E,50,29372667.4,5158935696,107.8824786
