"","component","term3","2015","2016","2017"
"1","cond","Intercept","0.28 (0.03-0.81)","0.09 (0.01-0.51)","0.27 (0.05-0.7)"
"2","cond","Nutrient","0.4 (0.38-0.43)","0.52 (0.45-0.59)","0.33 (0.08-0.74)"
"3","cond","NutrientXTemperature",NA,NA,"0.41 (0.38-0.44)"
"4","cond","Temperature","0.52 (0.49-0.55)","0.5 (0.47-0.53)","0.57 (0.54-0.6)"
"5","phi","Intercept","0.15 (0.01-3.2)","1.29 (0.06-15.78)","0.44 (0.03-5.71)"
"6","phi","Nutrient","2.9 (1.49-5.18)","0.8 (0.54-1.2)","1.91 (0.56-6.55)"
"7","phi","NutrientXTemperature","0.96 (0.94-1)",NA,NA
"8","phi","Temperature","1.06 (0.89-1.25)","1.13 (0.97-1.32)","1.31 (1.11-1.55)"
"9","zi","Intercept","1 (0.76-1)","0.98 (0.56-1)","0.95 (0.43-1)"
"10","zi","Nutrient","0.32 (0.18-0.48)","0.63 (0.52-0.74)","0.63 (0.3-0.87)"
"11","zi","NutrientXTemperature","0.52 (0.5-0.53)",NA,NA
"12","zi","Temperature","0.34 (0.23-0.45)","0.42 (0.35-0.47)","0.42 (0.35-0.48)"
